product_name,batch_number,manufacturer,alert_date,reason,source_document,lab_type,extraction_confidence,page,mfg_date,expiry_date,reported_by
Colestyramine EP,SB48/001M/24,Phaex Polymers Private Limited,2025-06-30,Loss on drying,CDSCO_NSQ_june25.pdf,central,medium,5,07/2024,07/2029,CDTL-Mumbai
"0.45 % w/v Sodium Chloride and 5 % w/v Dextrose Injection I.P. (0.45 % DNS), 500 ml",S3BX05,Swaroop Pharmaceuticals Pvt. Ltd.,2025-06-30,Test for Sterility,CDSCO_NSQ_june25.pdf,central,medium,5,11/2024,10/2026,CDTL-Mumbai
Sodium Polystyrene Sulfonate EP,SC42/048M/24,Phaex Polymers Private Limited,2025-06-30,Loss on drying,CDSCO_NSQ_june25.pdf,central,medium,5,07/2024,07/2029,CDTL-Mumbai
Sodium Polystyrene Sulfonate USP,SC25/048M/24,Phaex Polymers Private Limited,2025-06-30,Water determination,CDSCO_NSQ_june25.pdf,central,medium,5,07/2024,07/2029,CDTL-Mumbai
Sodium Polystyrene Sulfonate BP,SC27/048M/24,Phaex Polymers Private Limited,2025-06-30,Loss on drying,CDSCO_NSQ_june25.pdf,central,medium,5-6,07/2024,07/2029,CDTL-Mumbai
Nitrofurantoin Tablets I.P 100 mg,NFDT1201,Unicure India Ltd.,2025-06-30,Dissolution,CDSCO_NSQ_june25.pdf,central,medium,6,10/2024,09/2026,CDTL Indore
Glipizide & Metformin Tablets I.P,Z24-011,Zee Laboratories Ltd.,2025-06-30,Description,CDSCO_NSQ_june25.pdf,central,medium,6,01/2024,12/2026,CDTL Indore
Cefpodoxime Dispersible Tablets 200 mg (Xpocef 200 DT),XCT24078C,Xperia Creation,2025-06-30,Uniformity of Dispersion,CDSCO_NSQ_june25.pdf,central,medium,6,11/2024,10/2026,"CDTL, Hyderabad"
Calcium Carbonate 500 mg + VIT. D3 250 IU Tablets IP (CALXIA-500),GTL1317,Gidsha Pharmaceuticals,2025-05-31,Dissolution (for Calcium),NSQ_ALERT_MAY-2025.pdf,central,medium,1,12/2024,11/2026,"CDL, Kolkata"
Calcium Carbonate 500 mg + VIT. D3 250 IU Tablets IP (CALXIA-500),GTL1295,Gidsha Pharmaceuticals,2025-05-31,Dissolution (for Calcium),NSQ_ALERT_MAY-2025.pdf,central,medium,1,12/2024,11/2026,"CDL, Kolkata"
Calcium Carbonate 500 mg + VIT. D3 250 IU Tablets IP (CALXIA-500),GTL1316,Gidsha Pharmaceuticals,2025-05-31,Dissolution (for Calcium),NSQ_ALERT_MAY-2025.pdf,central,medium,1,12/2024,11/2026,"CDL, Kolkata"
Vitamin B Complex Injection 30 ml (WA-PLEX ),111,Weismanna Health Care Pvt. Ltd.,2025-05-31,Description and Particulate matter,NSQ_ALERT_MAY-2025.pdf,central,medium,1,12/2024,05/2026,"CDL, Kolkata"
Ondansetron Injection IP 2 mg/ml,ONA12515,Nandani Medical Laboratories Pvt. Ltd.,2025-05-31,Particulate matter,NSQ_ALERT_MAY-2025.pdf,central,medium,1,01/2025,12/2026,"CDL, Kolkata"
Rabeprazole Sodium Injection IP 20 mg/vial,MD23H27,Martin & Brown Bio Sciences,2025-05-31,"pH, Clarity of Solution, Particulate matter, Uniformity of Weight, Assay of Rabeprazole Sodium and Description.",NSQ_ALERT_MAY-2025.pdf,central,medium,1,08/2023,07/2025,"CDL, Kolkata"
Enzox Liquid Digestive Supplement,ES-24011/11,Tidal Laboratories Pvt. Ltd.,2025-05-31,Assay/Content of Pepsin activity.,NSQ_ALERT_MAY-2025.pdf,central,medium,1,12/2024,05/2026,"CDL, Kolkata"
Ciprofloxacin Injection IP (0.2%w/v) (Ciprox),2250946,Otsuka Pharmaceutical India Private Limited,2025-05-31,Particulate contamination.,NSQ_ALERT_MAY-2025.pdf,central,medium,1-2,02/2025,01/2028,"CDL, Kolkata"
Dobutamine Hydrochloride Injection IP 5 ml,DBA12404,Nandani Medical Laboratories Pvt. Ltd.,2025-05-31,Particulate matter and Description,NSQ_ALERT_MAY-2025.pdf,central,medium,2,08/2024,07/2026,"CDL, Kolkata"
Sitagliptin & Metformin Tablets 50 mg + 1000 mg (Sitajack-M ),T-2916,Jackson Laboratories Pvt. Ltd.,2025-05-31,Assay of Sitagliptin,NSQ_ALERT_MAY-2025.pdf,central,medium,2,09/2024,08/2026,"CDL, Kolkata"
Betamethasone Sodium Phosphate Injection IP (Betagin 1 ml),P24L107,Paksons Pharmaceuticals Private Limited,2025-05-31,"Particulate matter, Assay of Betamethasone Sodium Phosphate and Description",NSQ_ALERT_MAY-2025.pdf,central,medium,2,08/2024,07/2026,"CDL, Kolkata"
Pantoprazole for Injection BP 40 mg,AA013026,ANG Lifesciences India Ltd.,2025-05-31,Clarity and Colour of Solution,NSQ_ALERT_MAY-2025.pdf,central,medium,2,06/2023,05/2025,"CDL, Kolkata"
Pantoprazole for Injection BP 40 mg,AA013047,ANG Lifesciences India Ltd.,2025-05-31,Clarity and Colour of Solution,NSQ_ALERT_MAY-2025.pdf,central,medium,2,09/2023,08/2025,"CDL, Kolkata"
Sodium Chloride Injection U.S.P.(3% w/v ) (Hypertonic 3NS 100 ml),G250146001,Vision Parental Pvt. Ltd.,2025-05-31,Particulate Matter,NSQ_ALERT_MAY-2025.pdf,central,medium,2,01/2025,12/2027,"CDL, Kolkata"
Pantoprazole Tablets IP 40 mg,0092,Hindustan Antibiotics Ltd.,2025-05-31,Dissolution and Description,NSQ_ALERT_MAY-2025.pdf,central,medium,2,07/2024,06/2026,"CDL, Kolkata"
Fexofenadine Tablets IP (Fexodil 180 mg),T-4029,Jackson Laboratories Pvt. Ltd.,2025-05-31,Dissolution test after 10 min and after 30 min,NSQ_ALERT_MAY-2025.pdf,central,medium,2,01/2025,12/2026,"CDL, Kolkata"
Cefixime Tablets IP 200 mg,B240875,Bochem Healthcare Pvt. Ltd.,2025-05-31,Test of “Water”,NSQ_ALERT_MAY-2025.pdf,central,medium,2,06/2024,05/2026,"CDL, Kolkata"
Pantoprazole for Injection BP 40 mg,AA013043,ANG Lifesciences India Ltd.,2025-05-31,Clarity and colour of solution,NSQ_ALERT_MAY-2025.pdf,central,medium,2,08/2023,07/2025,"CDL, Kolkata"
Tranexamic Acid Tablets IP (Trenaxa 500 ),18242021A,Macleods Pharmaceuticals Ltd.,2025-05-31,Spurious Identification and Assay of Tranexamic Acid,NSQ_ALERT_MAY-2025.pdf,central,medium,2,08/2024,07/2027,"CDL, Kolkata"
Dexamethasone Sodium Phosphate Injection IP (Dexona),N400726,Zydus Healthcare Limited,2025-05-31,"Particulate matter, Assay of Dexamethasone Phosphate and Description",NSQ_ALERT_MAY-2025.pdf,central,medium,3,06/2024,11/2025,"CDL, Kolkata"
Bupivacaine Hydrochloride in Dextrose Injection USP 4 ml,17B24005,Radiant Parenterals Ltd.,2025-05-31,"pH, Bacterial Endotoxins Test, Particulate Matter in Injections and Description",NSQ_ALERT_MAY-2025.pdf,central,medium,3,09/2024,08/2026,"CDL, Kolkata"
Vitamin B-Complex with Vitamin C and Biotin Capsules (Vitabon ),C-3465,Jackson Laboratories Pvt. Ltd.,2025-05-31,Assay/content of Calcium Pantothenate,NSQ_ALERT_MAY-2025.pdf,central,medium,3,11/2024,10/2026,"CDL, Kolkata"
Rabeprazole Sodium (EC) & Domperidone (SR) Capsules (Dorsai),DYC-24007,DYCOTT Healthcare,2025-05-31,"Dissolution of Rabeprazole Sodium (acid stage), Dissolution of Rabeprazole Sodium (buffer stage) and Assay of Rabeprazole Sodium",NSQ_ALERT_MAY-2025.pdf,central,medium,3,04/2024,03/2026,"CDL, Kolkata"
Buprenorphine Injection I.P. (Talgesic Injection),BUP324002,Indus Pharma Pvt. Ltd.,2025-05-31,"Spurious Identification and Assay of Buprenorphine Hydrochloride, Particulate matter and Description",NSQ_ALERT_MAY-2025.pdf,central,medium,3,06/2024,05/2026,"CDL, Kolkata"
Buprenorphin Injection I.P. (Noophin Injection ),LM18898,Cooper Pharma Limited,2025-05-31,"Related Substances, Particulate matter, Sterility , Assay of Buprenorphine Hydrochloride eq. to Buprenorphine and Description",NSQ_ALERT_MAY-2025.pdf,central,medium,3,11/2022,10/2028,"CDL, Kolkata"
Ondansertron Orally Disintegrating Tablets IP 4 mg (ONVIN-4 MD TABLETS ),RV24012,Rivpra Formulation Pvt. Ltd.,2025-05-31,Related Substances,NSQ_ALERT_MAY-2025.pdf,central,medium,3,05/2024,04/2026,"CDL, Kolkata"
Aceclofenac & Paracetamol Tablets (Elzefen-P ),PC24021,Prochem Pharmaceuticals Pvt. Ltd.,2025-05-31,Assay of Aceclofenac,NSQ_ALERT_MAY-2025.pdf,central,medium,3,03/2024,02/2026,"CDL, Kolkata"
Zinc Sulphate Dispersible Tablets IP 20 mg,LMT240804,Life Max Cancer Laboratories,2025-05-31,Uniformity of Dispersion & Disintegration,NSQ_ALERT_MAY-2025.pdf,central,medium,4,07/2024,06/2026,"RDTL, Guwahati"
METRONIDAZOLE TABLETS IP (Martigyl- 400),MT-24D03,Martin & Brown Bio-sciences,2025-05-31,Dissolution,NSQ_ALERT_MAY-2025.pdf,central,medium,4,04/2024,03/2026,"RDTL, Guwahati"
Sodium Chloride Injection I.P. (0.9% w/v).. (NS),01BF2354,Paschim Banga Pharmaceutical (A,2025-05-31,Sterillity & Description,NSQ_ALERT_MAY-2025.pdf,central,medium,4,03/2024,02/2027,"RDTL, Guwahati"
Disposable Syringes (5ml) (SUI),4051124S11,Hindustan Ultra Care Limited,2025-05-31,Sterillity,NSQ_ALERT_MAY-2025.pdf,central,medium,4,11/2024,10/2027,"RDTL, Guwahati"
Telmisartan Tablets IP 40mg,251TTF025,Swiss Garnier Life Sciences,2025-05-31,Dissolution,NSQ_ALERT_MAY-2025.pdf,central,medium,4,12/2024,11/2027,"RDTL, Guwahati"
Telmisartan Tablets IP 40 mg,251TTF036,Swiss Garnier Life Sciences,2025-05-31,Dissolution,NSQ_ALERT_MAY-2025.pdf,central,medium,4,12/2024,11/2026,"RDTL, Guwahati"
Dicyclomine Hydrochloride Tablets IP 10 mg,TK24-08,Om Biomedic Pvt. Ltd.,2025-05-31,Description,NSQ_ALERT_MAY-2025.pdf,central,medium,4,11/2024,10/2026,"RDTL, Guwahati"
ALBENDAZOLE TABLETS I.P.,PGT24407,Affy Parenterals,2025-05-31,Dissolution of Albendazole,NSQ_ALERT_MAY-2025.pdf,central,medium,4,07/2024,06/2027,"RDTL, Chandigarh"
Sildenafil citrate oral jelly 5 gm (King of jelly),25005,Banson Pharmaceuticals Pvt.Ltd.,2025-05-31,Description and Assay of Sildenafil Citrate,NSQ_ALERT_MAY-2025.pdf,central,medium,4,02/2025,01/2028,"RDTL, Chandigarh"
Ofloxacin Tablets IP 200 mg,DL-55,DUTCH Formulations,2025-05-31,Dissolution and Assay of Ofloxacin,NSQ_ALERT_MAY-2025.pdf,central,medium,4,10/2024,09/2026,"RDTL, Chandigarh"
Ofloxacin and Ornidazole Tablets IP 200 mg+500mg,DL-136,DUTCH Formulations,2025-05-31,"Uniformity of weight, Dissolution of Ornidazole, Dissolution of Ofloxacin and Assay of Ofloxacin and Ornidazole",NSQ_ALERT_MAY-2025.pdf,central,medium,4-5,12/2024,11/2026,"RDTL, Chandigarh"
Azithromycin Tablets IP 500 mg,DL-52,DUTCH Formulations,2025-05-31,"Dissolution, Uniformity of weight and Assay of Azithromycin Dihydrate calculated as Azithromycin",NSQ_ALERT_MAY-2025.pdf,central,medium,5,10/2024,09/2026,"RDTL, Chandigarh"
Metronidazole Tablets IP 400 mg,B240578,Bochem Healthcare Pvt. Limited,2025-05-31,Dissolution,NSQ_ALERT_MAY-2025.pdf,central,medium,5,05/2024,04/2027,"RDTL, Chandigarh"
Amoxycillin and Potassium Clavulanate with Lactic Acid Bacillus Tablets (Polo-625 LB Tablets),PL2406001,Paradox Pharmaceuticals,2025-05-31,"Identification and Assay of Amoxycillin Trihydrate, Potassium Clavulanate and Lactic Acid Bacillus",NSQ_ALERT_MAY-2025.pdf,central,medium,5,10/2024,11/2026,"RDTL, Chandigarh"
Cefixime and Lactic Acid Bacillus Dispersible Tablets (Micoceff-LB 200 Tablets),CFL2411001,Maxcel Life Care,2025-05-31,Identification and Assay of Cefixime Trihydate and Lactic Acid Bacillus,NSQ_ALERT_MAY-2025.pdf,central,medium,5,11/2024,10/2026,"RDTL, Chandigarh"
Azithromycin Tablets IP 250 mg (RICK-250 TABLETS),AZR2411010,Paradox Pharmaceuticals,2025-05-31,"Identification, Dissolution and the Assay of Azithromycin",NSQ_ALERT_MAY-2025.pdf,central,medium,6,01/2025,12/2026,"RDTL, Chandigarh"
Pantoprazole Gastro resistant &Domperidone prolonged release Capsules IP,PZD242206,Paradox Pharmaceuticals,2025-05-31,Identification and Assay of Pantoprazole Sodium calculated as Pantoprazole and Domperidone and the Dissolution of Pantoprazole Sodium calculated as Pantoprazle.,NSQ_ALERT_MAY-2025.pdf,central,medium,6,01/2025,12/2026,"RDTL, Chandigarh"
Amoxycillin Trihydrate Capsules I.P. (Zymox-500 (Yellow)),ZYMC-2407,Laborate Pharmaceuticals India Ltd.,2025-05-31,"""Assay/ content of Amoxycillin""",NSQ_ALERT_MAY-2025.pdf,central,medium,6,04/2024,04/2026,CDTL-Mumbai
SPORLAC Tablets (Tablets of Probiotics),MS024004,J.B. Chemicals & Pharmaceuticals Ltd.,2025-05-31,"""Identification of Bacillus clausii""",NSQ_ALERT_MAY-2025.pdf,central,medium,6,04/2024,05/2026,CDTL-Mumbai
"Paracetamol 250 mg & Mefenamic Acid 100 mg Suspension, 60 ml (Pacimol MF 250 Suspension)",INC014022R,Ipca Laboratories Ltd.,2025-05-31,"""Assay of Paracetamol and Mefenamic Acid""",NSQ_ALERT_MAY-2025.pdf,central,medium,6,04/2024,03/2026,CDTL-Mumbai
Clopidogrel & Aspirin Tablets (75 mg/ 75 mg),GT241288,Theon Pharmaceuticals Ltd.,2025-05-31,"""Description""",NSQ_ALERT_MAY-2025.pdf,central,medium,6,07/2024,06/2026,CDTL-Mumbai
MULTIPLE ELECTROLYTES AND DEXTROSE INJ. TYPE-1 I.P. (AROLYTE P),1227421S,Shree KrishnaKeshav Laboratories Ltd.,2025-05-31,"""Assay of Potassium""",NSQ_ALERT_MAY-2025.pdf,central,medium,6,12/2024,11/2027,CDTL-Mumbai
Haematinic Capsules (R.B. TONE),D40652,Medley Pharmaceuticals Ltd.,2025-05-31,"""Microbial limit test (Total combined yeasts/molds count)""",NSQ_ALERT_MAY-2025.pdf,central,medium,7,11/2024,10/2026,CDTL-Mumbai
Aceclofenac Tablets I.P 100 mg,T4167,Zest Pharama,2025-05-31,Description,NSQ_ALERT_MAY-2025.pdf,central,medium,7,05/2024,04/2026,CDTL- Indore
Paracetamol Tablet I.P 500 mg,KA1334,Karnataka Antibiotics & Pharmaceuticals Limited,2025-05-31,Description,NSQ_ALERT_MAY-2025.pdf,central,medium,7,12/2023,11/2026,CDTL- Indore
Sucralfate Oral Suspension (AXID 200),624-470,Zee Laboratories Ltd.,2025-05-31,The sample does not conform to claim standards with respect to Description,NSQ_ALERT_MAY-2025.pdf,central,medium,7,06/2024,05/2026,CDTL- Chennai
Lorazepam Tablets I.P (1 mg),3305,Reliance Formulation Pvt. Ltd.,2025-06-30,Assay for Lorazepam” and “Dissolution Test,STATE_NSQ_June_-2025.pdf,state,medium,1,Apr-24,Mar-28,Karnataka
Telapp MT 25 (Telmisartan & Metoprolol Succinate (ER) Tablets),T24H459A,Bajaj Formulation,2025-06-30,Assay for Metoprolol Tartrate,STATE_NSQ_June_-2025.pdf,state,medium,1,Aug-24,Jul-26,Karnataka
Pantrum-40 Tablets (Pantoprazole Gastro- Restant Tablets IP),HT24686,Habitare Pharma pvt. Ltd.,2025-06-30,Dissolution” and “Description,STATE_NSQ_June_-2025.pdf,state,medium,1,Aug-24,Jul-26,Karnataka
Frusemide Injection I.P. 2 ml (Rasix Injection),IFMI415,Regain Laboratories,2025-06-30,pH” and Sterility,STATE_NSQ_June_-2025.pdf,state,medium,1,Sep-24,Aug-26,Karnataka
Methotrexate Injection IP 15 mg/ml (Folitrax-15),AI054J24,BDH Industrial Ltd.,2025-06-30,Sterility,STATE_NSQ_June_-2025.pdf,state,medium,1,Sep-24,Aug-26,Karnataka
Paracetamol Tablets I.P 500 mg,2511723,Karnataka Antibiotics & Pharmaceuticals Ltd.,2025-06-30,Description,STATE_NSQ_June_-2025.pdf,state,medium,1,Feb-23,Jan-26,Karnataka
"Iron Sucrose Injection USP (Irolink Injection),",L0372321C,Protech Telelinks,2025-06-30,Sterility,STATE_NSQ_June_-2025.pdf,state,medium,1,Oct-23,Sep-25,Karnataka
Dexamethasone Sodium Phosphate Injection I.P (Dexasun-For IM & IV use only),HLI380C,Himalaya Meditek (P) Ltd.,2025-06-30,Sterility and Assay for Dexamethasone Phosphate,STATE_NSQ_June_-2025.pdf,state,medium,1,Mar-24,Feb-26,Karnataka
Oxytetracycline Dihydrate Inj. I.P. (OXY-LA Injection Vet.),OTL-4449,Biograde Organics Pvt. Ltd.,2025-06-30,Description,STATE_NSQ_June_-2025.pdf,state,medium,1,Nov-24,Oct-26,Karnataka
Telmisartan and Hydrochlorothizide Tablets I.P (40mg/12.5mg),TMHT-1037,Wings Biotech LLP,2025-06-30,Uniformity of Weight,STATE_NSQ_June_-2025.pdf,state,medium,2,Oct-23,Sep-26,Karnataka
Telmisartan & Amlodipine Tablets I.P. (Telmamet AM),KTT24936,Kantil Pharmaceuticals Pvt. Ltd.,2025-06-30,Dissolution,STATE_NSQ_June_-2025.pdf,state,medium,2,Oct-24,Sep-26,Karnataka
Lorazepam Tablets IP 2 mg (Proline-2),05P23T03,Shine Pharmaceuticals Limited,2025-06-30,Assay for Lorazepam,STATE_NSQ_June_-2025.pdf,state,medium,2,Mar-23,Feb-27,Karnataka
"Salbrox-Xl Syrup (Ambroxol, Levosalbutamol, Guaiphenesin & Menthol Syrup)",BTB2404,MMC Healthcare Ltd.,2025-06-30,Description,STATE_NSQ_June_-2025.pdf,state,medium,2,Oct-24,Sep-26,Karnataka
Dextrose Injection I.P 5% w/v (D5),04BF0660,Paschim Banga Pharmaceuticals,2025-06-30,Sterility,STATE_NSQ_June_-2025.pdf,state,medium,2,Sep-23,Aug-26,Karnataka
Sodium Chloride Injection I.P (0.9%w/v)NS,01AF0301,Paschim Banga Pharmaceuticals,2025-06-30,Sterility,STATE_NSQ_June_-2025.pdf,state,medium,2,Dec-23,Nov-26,Karnataka
"Lilion-MR Tablets (Aceclofenac, Paracetamol & Chlorzoxazone Tablets)",CCT24984B,Cent Cure Pvt. Ltd.,2025-06-30,Assay for Aceclofenac and Chlorzoxazone,STATE_NSQ_June_-2025.pdf,state,medium,2,Jul-24,Jun-26,Karnataka
Methotrexate Injection IP 15 mg/ml (Folitrax-15),AI071L24,BDH Industrial Ltd.,2025-06-30,Sterility,STATE_NSQ_June_-2025.pdf,state,medium,2,Nov-24,Oct-26,Karnataka
Atropine Sulphate Injection I.P (Curopine),AS-1460,Pharma Cure Laboratories,2025-06-30,Sterility,STATE_NSQ_June_-2025.pdf,state,medium,2,Jan-25,Dec-26,Karnataka
Sodium Chloride Injection I.P (NS),24EC721,Pentagon Labs Ltd.,2025-06-30,Sterility,STATE_NSQ_June_-2025.pdf,state,medium,2,Jul-24,Jun-26,Karnataka
Sodium Chloride Injection IP 0.9% w/v (NS),TI204A002,Puniska Injectables Pvt. Ltd.,2025-06-30,Sterility,STATE_NSQ_June_-2025.pdf,state,medium,2,Sep-24,Aug-27,Karnataka
Sodium Chloride Injection IP 0.9% w/v (NS),TI404B024,Puniska Injectables Pvt. Ltd.,2025-06-30,Sterility,STATE_NSQ_June_-2025.pdf,state,medium,3,Sep-24,Aug-27,Karnataka
Sodium Chloride Injection IP 0.9% w/v (NS),UB404B021,Puniska Injectables Pvt. Ltd.,2025-06-30,Sterility,STATE_NSQ_June_-2025.pdf,state,medium,3,Feb-25,Jan-28,Karnataka
Pheniramine Maleate Injection IP (Care Vil),401,Carewin Pharmaceuticals (GUJ.) Pvt Ltd.,2025-06-30,Sterility,STATE_NSQ_June_-2025.pdf,state,medium,3,Jul-24,Jun-26,Karnataka
Paracetamol Tablets IP 500mg,PCTJ23058,Vivek Pharmachem (India) LTD,2025-06-30,Description,STATE_NSQ_June_-2025.pdf,state,medium,3,Nov-23,Oct-25,Karnataka
Mupirocin Ointment IP (Mupifit),2410223B,Biodeal Pharmaceuticals Limited,2025-06-30,Identification,STATE_NSQ_June_-2025.pdf,state,medium,3,Oct-24,Sep-26,Karnataka
"Dexamethasone Tablets I.P.0.5 mg,",PP/190,Penta Pharmaceuticals,2025-06-30,Assay of Dexamethasone,STATE_NSQ_June_-2025.pdf,state,medium,3,Jun-24,May-26,Karnataka
Pantus-D (Pantoprazole & Domperidone Tablets),APT-23918,ABOD Pharmaceuticals,2025-06-30,Assay of Pantoprazole,STATE_NSQ_June_-2025.pdf,state,medium,3,Mar-24,Feb-26,Karnataka
Ciprofloxacin Hydrochloride Tablets IP 250 mg.,CPT24046,Vivek Pharmachem (India) Ltd.,2025-06-30,Dissolution,STATE_NSQ_June_-2025.pdf,state,medium,3,Jul-24,Jun-26,Karnataka
Sodium Chloride Injection IP 0.9% w/v (NS),TL504E006,Puniska Injectables Pvt. Ltd.,2025-06-30,Sterility,STATE_NSQ_June_-2025.pdf,state,medium,3,Nov-24,Oct-27,Karnataka
ByGo Solution (Povidone Iodine Solution IP),NM860,Neptune Life Science Pvt Ltd.,2025-06-30,pH & Assay,STATE_NSQ_June_-2025.pdf,state,medium,3,Jul-24,Jun-26,Karnataka
Epproz-50 (Eperisone HCI Tablets),VEOT-2401,Verax Life Science Pvt Ltd.,2025-06-30,Assay and Dissolution test for Eperisone HCl,STATE_NSQ_June_-2025.pdf,state,medium,3,Mar-24,Feb-26,Karnataka
"Aciwave (Anesthetic, Antacid & Antiflatulent oral Suspension)",EL24165,Edkem Pharmaceuticals Ltd,2025-06-30,Assay for Oxethazaine,STATE_NSQ_June_-2025.pdf,state,medium,3-4,Mar-24,Feb-26,Karnataka
Sodium Chloride Injection IP 0.9% w/v (NS),UA404B021,Puniska Injectables Pvt. Ltd.,2025-06-30,Sterility,STATE_NSQ_June_-2025.pdf,state,medium,4,Jan-25,Dec-27,Karnataka
Calcium and Vitamin D3 Tablets IP (GENIBONE- 500),HCL5011,Hanuchem Laboratories,2025-06-30,Description,STATE_NSQ_June_-2025.pdf,state,medium,4,Jan-25,Dec-26,Karnataka
Diphenhydramine Hydrochloride Capsules IP 25 mg,C 364,Bittu Pharmaceuticals (II),2025-06-30,Dissolution,STATE_NSQ_June_-2025.pdf,state,medium,4,Feb-24,Jan-26,Karnataka
"Coxmyth-60 Tablets, (Etoricoxib Tablets IP 60mg)",ZRST-1325,ZRS Pharmaceuticals India Pvt. Ltd,2025-06-30,Assay for Etoricoxib,STATE_NSQ_June_-2025.pdf,state,medium,4,Jul-24,Jun-26,Karnataka
"Coxmyth-90 Tablets, (Etoricoxib Tablets IP 90mg)",DEMT-242366B,Dr. Edwin Medilabs Pvt Ltd.,2025-06-30,Uniformity of Weight and Dissolution Test for Etoricoxib,STATE_NSQ_June_-2025.pdf,state,medium,4,Nov-24,Oct-26,Karnataka
Enrofloxacin Tablets (Enrogen-500),TEG24004,Indian Genomix Pvt. Ltd.,2025-06-30,Description,STATE_NSQ_June_-2025.pdf,state,medium,4,Dec-24,Nov-26,Karnataka
Ciprox-TZ Suspension - Vet (Ciprofloxacin and Tinidazole Oral Suspension),CTL184,Mahendra Labs Pvt. Ltd.,2025-06-30,Assay for Tinidazole,STATE_NSQ_June_-2025.pdf,state,medium,4,Oct-24,Sep-26,Karnataka
Graficlav 625 Tablets (Amoxycillin & Potassium Clavulanate Tablets IP),TB24-0753A,Athens Life Sciences,2025-06-30,Uniformity of Weight of Tablets,STATE_NSQ_June_-2025.pdf,state,medium,4,Nov-24,Apr-26,Karnataka
Ibuprofen Tablets IP 400 mg,310524-BKN13,Biogenetic Drugs Pvt. Ltd.,2025-06-30,Dissolution of Ibuprofen,STATE_NSQ_June_-2025.pdf,state,medium,4,May-24,Apr/2026,Karnataka
CIPLOXVET BOLUS (Cephalexin Bolus 1500 mg),CPT-24007,Vet-needa Labs,2025-06-30,Disintegration,STATE_NSQ_June_-2025.pdf,state,medium,4,NOV/2024,O c t - 2 7,Karnataka
Albendazole Tablets IP 400 mg,ZL70,Mahendra Labs Pvt. Ltd.,2025-06-30,Dissolution,STATE_NSQ_June_-2025.pdf,state,medium,5,Oct-23,Sep-26,Karnataka
OFLOVEE OZ (Ofloxacin and Ornidazole Tablets IP),CT24100,Century Nova Drugs Pvt. Ltd.,2025-06-30,Description & Assay for Ofloxacin,STATE_NSQ_June_-2025.pdf,state,medium,5,Jun-24,05/2027,Karnataka
Nexikam-Plus Tablets (Escitalopram Oxalate & Clonazepam Tablets IP),GENT9932,Gentech Healthcare Pvt. Ltd.,2025-06-30,Uniformity of Content for both Escitalopram Oxalate & Clonazepam,STATE_NSQ_June_-2025.pdf,state,medium,5,Dec-24,Nov-26,Karnataka
Telmisartan and Hydrochlorothiazide Tablets I.P (40mg/12.5 mg),TMHT-1012,Wings Biotech LLP,2025-06-30,Uniformity of weight,STATE_NSQ_June_-2025.pdf,state,medium,5,Sep-23,Aug-26,Karnataka
Cyanocobalamin I.P.- Cynoder Injection I.P. (VITAMIN B12 INJ),AM-362,SVP Life Sciences,2025-06-30,Sterility” and “Assay for Anhydrous Cyanocobalamin,STATE_NSQ_June_-2025.pdf,state,medium,5,Oct-24,Sep-26,Karnataka
Sodium Chloride Injection IP 0.9% w/v (NS),TL104A060,Puniska Injectables Pvt. Ltd.,2025-06-30,Sterility,STATE_NSQ_June_-2025.pdf,state,medium,5,Nov/2024,O c t - 2 7,Karnataka
Telmisartan and Hydrochlorothiazide Tablets I.P. (40mg/12.5mg),TMHT1046,Wings Biotech LLP,2025-06-30,Uniformity of Weight,STATE_NSQ_June_-2025.pdf,state,medium,5,Oct/2023,S e p-26,Karnataka
Rodal 650 (Paracetamol IP 650 mg Tablets),ARDL-6-2403,Konis Pharmaceuticals Pvt. Ltd.,2025-06-30,"Dissolution of Tablets, Uniformity of weight and content of Paracetamol in the Assay",STATE_NSQ_June_-2025.pdf,state,medium,5,Sep-24,Aug-27,Karnataka
Ofloxacin and Dexamethasone Ophthalmic Solution,VE4111,Alpa Laboratories Ltd.,2025-06-30,Sterility,STATE_NSQ_June_-2025.pdf,state,medium,5,Nov-24,Oct-26,Karnataka
Pantoprazole Sodium for Injection (Petalife-40),ABGJ24032TH,Associated Biopharma Pvt. Ltd.,2025-06-30,Sterility,STATE_NSQ_June_-2025.pdf,state,medium,5,Oct-24,Sep-26,Karnataka
Frusemide Injection IP- 2ml,24BTH96,SVP Life Sciences,2025-06-30,Assay for frusemide,STATE_NSQ_June_-2025.pdf,state,medium,5,Aug-24,Jul-26,"King Institute of Preventive Medicine & Research, Guindy, Chennai-32"
Labetalol Tablets IP 100mg,LA1TE012,Unicure India Ltd,2025-06-30,Dissolution of Labetalol Hydrochloride Tablets,STATE_NSQ_June_-2025.pdf,state,medium,5,Aug-24,Jul-26,"Drugs Testing Laboratory, Chennai- 06"
Macro Ampicloxa (Ampicillin & Cloxacillin Capsules),C-20404,Jackson Laboratories Pvt.Ltd,2025-06-30,Content of Ampicillin in Ampicillin Trihydrate and Cloxacillin in Cloxacillin Sodium,STATE_NSQ_June_-2025.pdf,state,medium,6,Feb-24,Jan-26,"Drugs Testing Laboratory, Madurai- 19"
